Name;Source Book;Src Page;Schl;Sub-school;Descriptor;Class Lvls;Adp;APeace;Arc;Artificer;Asn;Beguiler;Blg;Blk;Brd;BVal;ChamGwyn;Clr;Corrupt;Dem;Drd;Duskblade;EmBarachiel;Exalted Arcanist;HB;Hlr;Hoard;Holder;HotD;Hrp;Hth;IOTDF;KotC;MH;Pal;PUG;Rgr;Sanctified;Shu;Slayer of Domiel;Sor/Wiz;Vassal of Bahamut;Wmg;Wuj;Domn Lvls;Air;Animal;Artifice;Balance;Bestial;Blackwater;Cavern;Celerity;Celestial;Chaos;Charm;City;Cold;Commerce;Community;Competition;Corruption;Courage;Craft;Creation;Darkness;Death;Deathbound;Deathless;Decay;Demonic;Destiny;Destruction;Diabolic;Domination;Dragon;Dream;DrgBlw;Drow;Dwarf;Earth;Elf;Endurance;Evil;Exorcism;Family;Fate;Feast;Fey;Fire;Force;Glory;Gnome;Good;Greed;Halfling;Hatred;Healing;Herald;Hunger;Illusion;Inquisition;Joy;Knowledge;Law;Liberation;Life;Luck;Madness;Magic;Meditation;Mental;Metal;Mind;Moon;Mysticism;Necro;Nobility;Ocean;Oracle;Orc;Pact;Pain;Passion;Pestilence;Planning;Plant;Pleasure;Portal;Portal (alt);Protection;Purification;Renewal;Repose;Retribution;Rune;Sand;SaveLife;Scalykind;Seafolk;Shadow;Sin-A;Sin-E;Sin-G;Sin-L;Sin-P;Sin-S;Sin-W;Sky;Slime;Spell;Spider;Storm;Strength;Suffering;Summer;Summoner;Sun;Thirst;Time;Trade;Transformation;Travel;Trickery;Truth;Tyranny;Undeath;VDarkness;War;Warforged;Water;Watery Death;Wealth;Weather;Winter;Wrath;Components;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Resistance;Short Description;Medium Description;Long Descripton
Pox;BV;101;Necr;;Evil;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;Up to one living creature/level, no two of which can be more than 10 ft. apart;Instantaneous;Fortitude negates;Yes;One creature/level takes 1d4 Con drain.;;
Prayer;SRD;264;Ench;Compulsion;Mind-Affecting;;;3;3;;;;;;;;3;3;;;;;;;;;;;;;;;3;;3;;;;3;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;40 ft.;Area;All allies and foes within a 40-ft.-radius burst centered on you;1 round/level;None;Yes;Allies +1 bonus on most rolls, enemies -1 penalty.;;You bring special favor upon yourself and your allies while bringing disfavor to your enemies. You and your each of your allies gain a +1 luck bonus on attack rolls, weapon damage rolls, saves, and skill checks, while each of your foes takes a -1 penalty on such rolls.
Precipitate Breach;PLH;103;Conj;Teleportation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, M;10 minutes;0 ft.;Effect;"Planar breach; see text";See text;None;Yes;You can force planar boundaries to rip, creating a planar breach.;;
Precipitate Complete Breach;PLH;104;Conj;Teleportation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, M, XP;10 minutes;0 ft.;Effect;"Complete planar breach; see text";See text;None;Yes;You rip wide the boundary between two planes.;;
Precise Vision;BoEM;26;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Personal;Target;You;10 min./level;None;No;See Text;You gain a +5 compentence bonus to Spot and Search checks.;
Preserve Organ;BV;101;Necr;;;;;;0;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;10 minutes;Touch;Effect;One organ;1 day;Fortitude negates (harmless);Yes;Protects one detached organ from decay for 24 hours.;;
Pressure Sphere;STO;120;Evoc;;Water;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;Instantaneous;Fortitude half;Yes;Water pressure deals 4d6 damage to submerged targets.;;
Prestidigitation;SRD;264;Univ;;;;;;;;;;;;0;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;10 ft.;"Target; Effect; or Area";See text;1 hour;See text;No;Performs minor tricks.;;Prestidigitations are minor tricks that novice spellcasters use for practice. Once cast, a prestidigitation spell enables you to perform simple magical effects for 1 hour. The effects are minor and have severe limitations. A prestidigitation can slowly lift 1 pound of material. It can color, clean, or soil items in a 1-foot cube each round. It can chill, warm, or flavor 1 pound of nonliving material. It cannot deal damage or affect the concentration of spellcasters. Prestidigitation can create small objects, but they look crude and artificial. The materials created by a prestidigitation spell are extremely fragile, and they cannot be used as tools, weapons, or spell components. Finally, a prestidigitation lacks the power to duplicate any other spell effects. Any actual change to an object (beyond just moving, cleaning, or soiling it) persists only 1 hour.
Price of Loyalty;PE;149;Ench;Charm;Mind-Affecting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;1 standard action;Touch;Target;One humanoid;1 hour/level;Will negates;Yes;Identical to charm person except subject does not know a spell was cast.;;
Primal Form;SPC;161;Tran;;;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Personal;Target;You;1 min./level (D);;;You change into elemental, gain some abilities.;;
Primal Release;BoEM;26;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature (not you);10 min./level;Will negates;Yes;Subject gains physical bonuses (+10, +2, +10, -6, -2, -6) and Base Attack bonus becomes +1/HD of subject and gains feats.;;
Prismatic Eye;SPC;161;Evoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Magical eye;1 round/level;See text;Yes;Orb produces individual prismatic rays as touch attacks.;;
Prismatic Ray;SPC;162;Evoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;Instantaneous;See text;Yes;Blind target with 6 HD or less and deal random effect.;;
Prismatic Sphere;SRD;264;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;V;1 standard action;10 ft.;Effect;10-ft.-radius sphere centered on you;10 min./level (D);See text;See text;As prismatic wall, but surrounds on all sides.;;"Prismatic sphere creates a vertical, opaque globe of a shimmering, multicolored light that protects you from all forms of attack. The sphere flashes with seven colors, each of which has a distinct power and purpose. The sphere is immobile, and you can pass through and remain near the sphere without harm. However, any other creature with less than 8 HD that is within 20 feet of the sphere is blinded for 2d4x10 minutes by the colors if it looks at the sphere.  [lf]A Prismatic sphere spell cast to materialize in a space occupied by a creature is disrupted, and the spell is wasted.  [lf]Each color in the sphere has a special effect. The accompanying table shows the seven colors of the sphere, the order in which they appear, their effects on creatures trying to attack you or pass through the sphere, and the magic needed to negate each color.  [lf]The sphere can be destroyed, color by color, in consecutive order, by various magical effects; however, the first color must be brought down before the second can be affected, and so on. A rod of cancellation or a mage's disjunction spell destroys a Prismatic sphere, but an antimagic field fails to penetrate it. Dispel magic and dispel magic, greater cannot dispel the sphere or anything beyond it. Spell resistance is effective against a Prismatic sphere, but the caster level check must be repeated for each color present.  [lf]Prismatic sphere can be made permanent with a permanency spell.    [lf]  ColorOrderEffect of ColorNegated By    [lf]Red1stStops nonmagical ranged weapons.  Deals 20 points of fire damage (Reflex half).Cone of cold  [lf]Orange2ndStops magical ranged weapons.  Deals 40 points of acid damage (Reflex half).Gust of wind  [lf]Yellow3rdStops poisons, gases, and petrification.  Deals 80 points of electricity damage (Reflex half).Disintegrate  [lf]Green4thStops breath weapons.  Poison (Kills; Fortitude partial for 1d6 points of Con damage instead).Passwall  [lf]Blue5thStops divination and mental attacks.  Turned to stone (Fortitude negates).Magic missile  [lf]Indigo6thStops all spells.  Will save or become insane (as insanity spell).Daylight  [lf]Violet7thEnergy field destroys all objects and effects.1  Creatures sent to another plane (Will negates).Dispel magic    [lf]1) The violet effect makes the special effects of the other six colors redundant, but these six effects are included here because certain magic items can create prismatic effects one color at a time, and spell resistance might render some colors ineffective (see above)."
Prismatic Spray;SRD;264;Evoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;See text;Yes;Rays hit subjects with variety of effects.;;"This spell causes seven shimmering, intertwined, multicolored beams of light to spray from your hand. Each beam has a different power. Creatures in the area of the spell with 8 HD or less are automatically blinded for 2d4 rounds. Every creature in the area is randomly struck by one or more beams, which have additional effects.    [lf]1d8  Color of Beam  Effect  [lf]1  Red  20 points fire damage (Reflex half)  [lf]2  Orange  40 points acid damage (Reflex half)  [lf]3  Yellow  80 points electricity damage (Reflex half)  [lf]4  Green  Poison (Kills; Fortitude partial, take 1d6 points of Con damage instead)  [lf]5  Blue  Turned to stone (Fortitude negates)  [lf]6  Indigo  Insane, as insanity spell (Will negates)  [lf]7  Violet  Sent to another plane (Will negates)  [lf]8  Struck by two rays; roll twice more, ignoring any 8 results.  "
Prismatic Wall;SRD;264;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Wall 4 ft./level wide, 2 ft./level high;10 min./level (D);See text;See text;Wall’s colors have array of effects.;;"Prismatic wall creates a vertical, opaque wall -- a shimmering, multicolored plane of light that protects you from all forms of attack. The wall flashes with seven colors, each of which has a distinct power and purpose. The wall is immobile, and you can pass through and remain near the wall without harm. However, any other creature with less than 8 HD that is within 20 feet of the wall is blinded for 2d4 rounds by the colors if it looks at the wall.  [lf]The wall’s maximum proportions are 4 feet wide per caster level and 2 feet high per caster level. A prismatic wall spell cast to materialize in a space occupied by a creature is disrupted, and the spell is wasted.  [lf]Each color in the wall has a special effect. The accompanying table shows the seven colors of the wall, the order in which they appear, their effects on creatures trying to attack you or pass through the wall, and the magic needed to negate each color.  [lf]The wall can be destroyed, color by color, in consecutive order, by various magical effects; however, the first color must be brought down before the second can be affected, and so on. A rod of cancellation or a mage's disjunction spell destroys a prismatic wall, but an antimagic field fails to penetrate it. Dispel magic and dispel magic, greater cannot dispel the wall or anything beyond it. Spell resistance is effective against a prismatic wall, but the caster level check must be repeated for each color present.  [lf]Prismatic wall can be made permanent with a permanency spell.    [lf]  ColorOrderEffect of ColorNegated By    [lf]Red1stStops nonmagical ranged weapons.  Deals 20 points of fire damage (Reflex half).Cone of cold  [lf]Orange2ndStops magical ranged weapons.  Deals 40 points of acid damage (Reflex half).Gust of wind  [lf]Yellow3rdStops poisons, gases, and petrification.  Deals 80 points of electricity damage (Reflex half).Disintegrate  [lf]Green4thStops breath weapons.  Poison (Kills; Fortitude partial for 1d6 points of Con damage instead).Passwall  [lf]Blue5thStops divination and mental attacks.  Turned to stone (Fortitude negates).Magic missile  [lf]Indigo6thStops all spells.  Will save or become insane (as insanity spell).Daylight  [lf]Violet7thEnergy field destroys all objects and effects.1  Creatures sent to another plane (Will negates).Dispel magic    [lf]1) The violet effect makes the special effects of the other six colors redundant, but these six effects are included here because certain magic items can create prismatic effects one color at a time, and spell resistance might render some colors ineffective (see above)."
Probe Thoughts;CD;176;Div;;Mind-Affecting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 minute;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Concentration;"Will negates; see text";Yes;Read subject's memories, one question/round.;;
Produce Flame;SRD;265;Evoc;;Fire;;;;1;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;0 ft.;Effect;Flame in your palm;1 min./level (D);None;Yes;1d6 damage +1/level, touch or thrown.;;Flames as bright as a torch appear in your open hand. The flames harm neither you nor your equipment.[lf][lf]In addition to providing illumination, the flames can be hurled or used to touch enemies. You can strike an opponent with a melee touch attack, dealing fire damage equal to 1d6 +1 point per caster level (maximum +5). Alternatively, you can hurl the flames up to 120 feet as a thrown weapon. When doing so, you attack with a ranged touch attack (with no range penalty) and deal the same damage as with the melee attack. No sooner do you hurl the flames than a new set appears in your hand. Each attack you make reduces the remaining duration by 1 minute. If an attack reduces the remaining duration to 0 minutes or less, the spell ends after the attack resolves.[lf][lf]This spell does not function underwater.
Programmed Amnesia;CAr;118;Ench;Compulsion;Mind-Affecting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;10 minutes;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Permanent;Will negates;Yes;You can selectively destroy, alter, or implant memories in the target creature as you see fit.;;
Programmed Image;SRD;265;Illu;Figment;;;;;7;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;7;;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond a 20-ft. cube + one 10-ft. cube/level (S);Permanent until triggered, then 1 round/level;Will disbelief (if interacted with);No;As major image, plus triggered by event.;;This spell creates the visual illusion of an object, creature, or force, as visualized by you. This spell's figment activates when a specific condition occurs. The figment includes visual, auditory, olfactory, and thermal elements, including intelligible speech. You set the triggering condition (which may be a special word) when casting the spell. The event that triggers the illusion can be as general or as specific and detailed as desired but must be based on an audible, tactile, olfactory, or visual trigger. The trigger cannot be based on some quality not normally obvious to the senses, such as alignment. (See magic mouth for more details about such triggers.)
Project Image;SRD;265;Illu;Shadow;;;;;;;;7;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One shadow duplicate;1 round/level (D);Will disbelief (if interacted with);No;Illusory double can talk and cast spells.;;You tap energy from the Plane of Shadow to create a quasi-real, illusory version of yourself. The projected image looks, sounds, and smells like you but is intangible. The projected image mimics your actions (including speech) unless you direct it to act differently (which is a move action).[lf][lf]You can see through its eyes and hear through its ears as if you were standing where it is, and during your turn you can switch from using its senses to using your own, or back again, as a free action. While you are using its senses, your body is considered blinded and deafened.[lf][lf]If you desire, any spell you cast whose range is touch or greater can originate from the projected image instead of from you. The projected image can't cast any spells on itself except for illusion spells. The spells affect other targets normally, despite originating from the projected image.[lf][lf]Objects are affected by the projected image as if they had succeeded on their Will save.[lf][lf]You must maintain line of effect to the projected image at all times. If your line of effect is obstructed, the spell ends. If you use dimension door, teleport, plane shift, or a similar spell that breaks your line of effect, even momentarily, the spell ends.
Pronouncement Of Fate;HH;132;Necr;;;;;;4;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;"Will negates or Will partial; see text";See text;"Imposes a -4 penalty on an offender's attacks, damage, saves, and checks; target loses actions.";;
Protection from Arrows;SRD;266;Abj;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Touch;Target;Creature touched;1 hour/level or until discharged;Will negates (harmless);Yes (harmless);Subject immune to most ranged attacks.;;The warded creature gains resistance to ranged weapons. The subject gains damage reduction 10/magic against ranged weapons. (This spell doesn't grant you the ability to damage creatures with similar damage reduction.) Once the spell has prevented a total of 10 points of damage per caster level (maximum 100 points), it is discharged.
Protection from Chaos;SRD;266;Abj;;Lawful;;1;;1;;;;;;;;;1;;;;;1;;1;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M/DF;1 standard action;Touch;Target;Creature touched;1 min./level (D);Will negates (harmless);"No; see text";+2 to AC and saves, counter mind control, hedge out elementals and outsiders.;;This spell wards a creature from attacks by chaotic creatures, from mental control, and from summoned creatures. It creates a magical barrier around the subject at a distance of 1 foot. The barrier moves with the subject and has three major effects.[lf][lf]First, the subject gains a +2 deflection bonus to AC and a +2 resistance bonus on saves. Both these bonuses apply against attacks made or effects created by chaotic creatures.[lf][lf]Second, the barrier blocks any attempt to possess the warded creature (by a magic jar attack, for example) or to exercise mental control over the creature (including enchantment (charm) effects and enchantment (compulsion) effects that grant the caster ongoing control over the subject, such as dominate person). The protection does not prevent such effects from targeting the protected creature, but it suppresses the effect for the duration of the protection from chaotic effect. If the protection from chaos effect ends before the effect granting mental control does, the would-be controller would then be able to mentally command the controlled creature. Likewise, the barrier keeps out a possessing life force but does not expel one if it is in place before the spell is cast. This second effect works regardless of alignment.[lf][lf]Third, the spell prevents bodily contact by summoned creatures. This causes the natural weapon attacks of such creatures to fail and the creatures to recoil if such attacks require touching the warded creature. Lawful summoned creatures are immune to this effect. The protection against contact by summoned creatures ends if the warded creature makes an attack against or tries to force the barrier against the blocked creature. Spell resistance can allow a creature to overcome this protection and touch the warded creature.
Protection from Charm;CAr;118;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Touch;Target;Creature touched;1 round/level;Will negates (harmless);Yes (harmless);The recipient of this spell gains a resistance bonus of +1 per three caster levels (maximum +5) on any Will save against charm or compulsion spells or effects.;;
Protection from Dessication;SA;119;Abj;;;;;;3;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Touch;Target;Living creature touched;10 min./level or until discharged;Fortitude negates (harmless);Yes (harmless);Absorb 10 points/level of dessication damage.;;
Protection from Energy;SRD;266;Abj;;;;;3;3;;;;3;3;;;;3;;2;3;3;;;3;;3;;3;;;;3;;;;2;;3;;3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Touch;Target;Creature touched;10 min./level or until discharged;Fortitude negates (harmless);Yes (harmless);Absorb 12 points/level of damage from one kind of energy.;;Protection from energy grants temporary immunity to the type of energy you specify when you cast it (acid, cold, electricity, fire, or sonic). When the spell absorbs 12 points per caster level of energy damage (to a maximum of 120 points at 10th level), it is discharged.[lf][lf]Note: Protection from energy overlaps (and does not stack with) resist energy. If a character is warded by protection from energy and resist energy, the protection spell absorbs damage until its power is exhausted.
Protection from Evil;SRD;266;Abj;;Good;;1;1;1;;;;;;;;1;1;;1;;;1;;1;1;;;;;;;1;;1;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M/DF;1 standard action;Touch;Target;Creature touched;1 min./level (D);Will negates (harmless);"No; see text";+2 to AC and saves, counter mind control, hedge out elementals and outsiders.;;This spell wards a creature from attacks by evil creatures, from mental control, and from summoned creatures. It creates a magical barrier around the subject at a distance of 1 foot. The barrier moves with the subject and has three major effects.[lf][lf]First, the subject gains a +2 deflection bonus to AC and a +2 resistance bonus on saves. Both these bonuses apply against attacks made or effects created by evil creatures.[lf][lf]Second, the barrier blocks any attempt to possess the warded creature (by a magic jar attack, for example) or to exercise mental control over the creature (including enchantment (charm) effects and enchantment (compulsion) effects that grant the caster ongoing control over the subject, such as dominate person). The protection does not prevent such effects from targeting the protected creature, but it suppresses the effect for the duration of the protection from evil effect. If the protection from evil effect ends before the effect granting mental control does, the would-be controller would then be able to mentally command the controlled creature. Likewise, the barrier keeps out a possessing life force but does not expel one if it is in place before the spell is cast. This second effect works regardless of alignment.[lf][lf]Third, the spell prevents bodily contact by summoned creatures. This causes the natural weapon attacks of such creatures to fail and the creatures to recoil if such attacks require touching the warded creature. Good summoned creatures are immune to this effect. The protection against contact by summoned creatures ends if the warded creature makes an attack against or tries to force the barrier against the blocked creature. Spell resistance can allow a creature to overcome this protection and touch the warded creature.
